DEBUG - 2021-06-23 13:31:14,525 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/eyeballs HTTP/1.1" 200 686 
DEBUG - 2021-06-23 13:31:14,583 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/touching HTTP/1.1" 200 479 
DEBUG - 2021-06-23 13:31:14,600 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Phew HTTP/1.1" 200 229 
DEBUG - 2021-06-23 13:31:14,606 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/disheartened HTTP/1.1" 200 571 
DEBUG - 2021-06-23 13:31:14,617 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/unpredictable HTTP/1.1" 200 468 
DEBUG - 2021-06-23 13:31:14,685 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/exclaim HTTP/1.1" 200 416 
DEBUG - 2021-06-23 13:31:14,714 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Sherlock HTTP/1.1" 200 267 
DEBUG - 2021-06-23 13:31:14,715 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/someplace HTTP/1.1" 200 344 
DEBUG - 2021-06-23 13:31:14,733 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/texted HTTP/1.1" 200 1103 
DEBUG - 2021-06-23 13:31:14,745 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/grandmother HTTP/1.1" 200 318 
DEBUG - 2021-06-23 13:31:14,748 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/consoling HTTP/1.1" 200 275 
DEBUG - 2021-06-23 13:31:14,782 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/popped HTTP/1.1" 200 3403 
DEBUG - 2021-06-23 13:31:14,788 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/emotion HTTP/1.1" 200 409 
DEBUG - 2021-06-23 13:31:14,835 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Hmm HTTP/1.1" 200 264 
DEBUG - 2021-06-23 13:31:14,855 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/abandon HTTP/1.1" 200 1268 
DEBUG - 2021-06-23 13:31:14,865 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Grandma HTTP/1.1" 200 255 
DEBUG - 2021-06-23 13:31:14,896 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Alright HTTP/1.1" 200 1363 
DEBUG - 2021-06-23 13:31:14,934 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/hugging HTTP/1.1" 200 821 
DEBUG - 2021-06-23 13:31:14,949 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Nonchalantly HTTP/1.1" 200 317 
DEBUG - 2021-06-23 13:31:14,967 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/cheek HTTP/1.1" 200 611 
